Nombre real / Agrupacion,Nacimiento,Ocupación,alias,Género(s),Instrumento(s),Período de actividad,Sitio Web,Discografia,Sencillos,Sexo,tipo,titulo_canal,id_canal,fecha,id_video_canal,titulo_video,descripcion,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1991 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-05-19T04:23:00.000Z,i62e5xEb06o,GERARDO MORÁN SHOW SOLIDARIO,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1992 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-05-03T00:53:51.000Z,_SIlFC1gGEI,Gerardo Moran Entrevista Ese Soy Yo,VALMIO Creating Dreams,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1993 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-04-28T18:22:35.000Z,QbZW3JT3oYU,Juan Fernando Velasco ft Gerardo Moran YO NACÍ AQUÍ,Una canción para todos los ecuatorianos gracias a Juan Fernando Velasco por esta iniciativa TODOS SOMOS ECUADOR,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1994 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-04-25T19:10:39.000Z,OHrUg092qLM,A MI LINDO ECUADOR...Gerardo Moran,Porque todos somos Ecuador by VALMIO Creating Dreams,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1995 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-04-18T01:55:28.000Z,W_-qXZITqC0,GERARDO MORÁN - LÁGRIMAS MUERTAS,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1996 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-04-18T01:35:49.000Z,yv46kK1ildM,GERARDO MORÁN ft D´FRANKLIN BAND - Veneno de amor,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1997 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-04-18T01:20:14.000Z,XGfkBxD_KC8,GERARDO MORÁN ft D´FRANKLIN BAND - CORAZÓN CUANDO TE VAYAS,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1998 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-04-16T13:29:38.000Z,tcMYO_P-nsE,GERARDO MORÁN FT D´FRANKLIN BAND (((Mix La Valentina))),Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1999 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-04-15T05:22:40.000Z,h9OwVjNSoDI,GERARDO MORÁN ft D´FRANKLIN BAND (((CASITA DE POBRES))),Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2000 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-03-31T20:53:56.000Z,n0UTqHsXZD0,GERARDO MORAN Promo ESE SOY YO,Promocional del nuevo tema inédito ESE SOY YO de GERARDO MORAN by VALMIO Creating Dreams 2016  Síguenos en FACEBOOK … GERARDO MORAN (pagina oficial),NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2001 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-03-29T01:23:02.000Z,f9ZCf1vO8yQ,"GERARDO MORAN-Apoyando a mi selección ""Dale TRI""","Disfruta de esta entretenida parodia de mi tema ""Muchacho Provinciano"" dedicada para NUESTRA QUERIDA SELECCIÓN.",NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2002 - Presente,NULL,NULL,NULL,Masculino,bulletin,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-03-29T01:23:02.000Z,f9ZCf1vO8yQ,"GERARDO MORAN-Apoyando a mi selección ""Dale TRI""",Con la TRI en el corazon dale mi ECUADOR...,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2003 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-03-19T00:00:09.000Z,AOekeKJbpZo,GERARDO MORAN - ESE SOY YO (VIDEO OFICIAL),Video Oficial de GERARDO MORAN tema: (ESE SOY YO). by VALMIO Creating Dreams 2016.  Sìguenos en: Facebook (Gerardo Moran pagina oficial) www.gerardomoran.com.ec,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2004 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-02-26T14:41:40.000Z,Qfcwgktlgt0,VIDEO DEL GANADOR DEL CONCURSO #CantaConElMasQuerido,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2005 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-02-10T18:46:17.000Z,_1zk8B0ASbY,Gerardo Moran - Premiación Mejor Artista del Año 2015,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2006 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-01-19T20:58:52.000Z,wA4y2z1NBlQ,Gerardo Moran - El artista,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2007 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-12-16T16:52:21.000Z,h8YS5C1XyIk,GERARDO MORÁN Saludo Navideño 2015 Oficial,Navidad Tiempo de Reflexión y Compartir by VALMIO Creating Dreams 2015 para GERARDO MORAN,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2008 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-12-16T16:42:15.000Z,QOPAOCNjcAU,GERARDO MORAN - SOLO LAGRIMAS (Video Oficial),"Video Oficial de GERARDO MORÁN tema: (SOLO LAGRIMAS). by VALMIO Creating Dreams 2015.  Sìguenos en. Facebook encuentranos como: ""Gerardo Morán pagina oficial""  O en nuestra pagina web: www.gerardomoran.com.ec",NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2009 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-12-11T18:23:09.000Z,R_xrssDViDw,GERARDO MORAN LA VERBENITA,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2010 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-12-11T16:10:20.000Z,k2kKeGUS7Xw,Gerardo Moran Que no Nazcan los Rencores,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2011 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-12-11T15:43:27.000Z,3rsrZZCky2c,GERARDO MORAN LA LLAMADA DE MI EX,Video Oficial Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2012 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-12-11T15:31:16.000Z,GBYDlg8gKxA,Gerardo Moran Lejos de ti,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2013 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-12-11T15:25:29.000Z,fde1rjEMsPQ,Gerardo Morán Morena la Ingratitud,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2014 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-12-11T15:04:19.000Z,uRodT74MYYs,GERARDO MORAN EL PROVINCIANO Video Oficial,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2015 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-12-11T14:07:23.000Z,DZAVhRtNJUM,Gerardo Moran Feliz Navidad,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2016 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-12-01T16:19:33.000Z,sVjyIQxG5CU,Gerardo Morán: Defiende su honra y familia,Rueda de prensa del Ab. de la familia Morán,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2017 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-11-28T16:54:53.000Z,JywUy3qDEak,Gerardo Moran A prueba de todo,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2018 - Presente,NULL,NULL,NULL,Masculino,like,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-11-01T22:14:08.000Z,kmp6kNcHvig,La Toquilla - Palomita errante,"La artista manabita que nos ha deslumbrado con su voz. belleza y talento extraordinario. ""LA TOQUILLA"" en este 2015 nos presenta su nuevo tema ""Palomita errante"" junto a uno de sus referentes musicales. la gran PAULINA TAMAYO.  http://www.latoquillaecuador.com +593 98 842 2220  Autor: Antonio Aguilar",NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2019 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-06-13T17:03:44.000Z,_NkskBX1rS4,Princesas Mágicas Gerardo Moran,Princesas Mágicas Amigas y amigos de mi país. deseo compartir y poner en consideración esta propuesta por el mes del Padre dedicado a mis dos bellas hijas que Dios me las bendiga siempre.,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2020 - Presente,NULL,NULL,NULL,Masculino,like,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2015-06-13T17:13:36.000Z,_NkskBX1rS4,Princesas Mágicas Gerardo Moran,Princesas Mágicas Amigas y amigos de mi país. deseo compartir y poner en consideración esta propuesta por el mes del Padre dedicado a mis dos bellas hijas que Dios me las bendiga siempre.,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2021 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2012-07-12T17:36:07.000Z,14PtuJTR7GI,Lejos de Ti - Gerardo Morán,Pelo D´Ambrosio Director: Pato y Paúl Cóndor  M@STV Pro HD Film,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2022 - Presente,NULL,NULL,NULL,Masculino,like,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2012-07-12T18:05:12.000Z,14PtuJTR7GI,Lejos de Ti - Gerardo Morán,Pelo D´Ambrosio Director: Pato y Paúl Cóndor  M@STV Pro HD Film,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2023 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2012-03-21T16:30:51.000Z,-wsQPV-thWM,Gerardo Morán Cariñito mio,|,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2024 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2012-03-20T19:55:52.000Z,IoKZ9xbF33Q,Gerardo Morán Despedida,|,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,2025 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2011-12-01T17:02:52.000Z,ZAy8BtJ5E44,GERARDO MORÁN NAVIDAD,FELIZ NAVIDAD Y FELIZ AÑO LES DESEA GERARDO MORAN Y FAMILIA,NULL
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-04-17T17:09:40.000Z,fqqbVceNky4,Soy Valiente (Video Oficial),He venido a Manabí muchas veces en el último año y he logrado reconectarme con mi parte manaba, campesina. soñadora. humilde valiente.  El terremoto del 16 de abril. nos enseñó que somos invencibles cuando luchamos juntos. Este video es una muestra del amor sincero que ha nacido unos por otros y es para mi familia. para Manabí y para mi Ecuador #soyValiente y creo que todos lo somos. Fausto Miño
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-03-29T06:37:41.000Z,pebOqobWNJo,Soy Valiente - Fausto Miño (Video Lírico),"Esta canción. es mi mejor regalo para Manabí. la provincia de mi madre y la mitad de mi herencia. Tierra de hombres y mujeres extraordinarios que combinan su dulzura con una garra particular. Gracias Fernando Viteri y Sergio Sacoto por empujar para que a ""Soy Valiente"" la conozca todo el Ecuador y más allá.  Esta canción nació para recordarnos que el Ecuador poderoso es aquel que trabaja UNIDO como cuando ayudamos a Manabí a levantarse. Que nada logre dividirnos.",NULL
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-03-28T15:28:46.000Z,HA9otRj1pPQ,Soy Valiente - Promocional,Gracias a todas las personas que me me ayudaron con este trabajo. Esto va en memoria de los que se fueron pero sobre todo para los valientes que hoy luchan por levantarse con más fuerza. Todo el país unido. una sola fuerza que empuja y que hoy tiene a Manabí saliendo adelante y renaciendo. Porque los ecuatorianos somos un pueblo lleno de valientes!,NULL
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-01-28T00:41:09.000Z,vbZ2n8_ll6g,Mi Mujer - Fausto Miño Oficial,|,NULL
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-01-20T22:41:51.000Z,JNqabNWWB3w,"""Ya No Tengo Novia"" - Fausto Miño Oficial",|,NULL
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-01-20T17:10:07.000Z,M1YbGpopomA,Show #7 FM - Colegios,Este formato de show es uno muy especial. Va acompañado de una obra junto a los propios estudiantes del colegio. mezclando la historia con mis canciones y tratamos temas específicos de la adolescencia. Además tratamos de comunicar lo que los estudiantes quieren decir a las autoridades y tratamos de crear un lazo a través del arte.,NULL
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-01-13T03:14:38.000Z,kpqKgivNmcQ,Algo así · Fausto Miño Oficial,Comparto con ustedes este video de los inicios de mi carrera una canción dedicada al AMOR. porque el amor es Algo Así...,NULL
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-01-11T20:15:18.000Z,j_IxnXT5Ql8,FERIA AMOR DE DOS - Fausto Miño,Aquí presentamos la Feria Amor de Dos. Un día para toda la familia donde armamos una feria con juegos. stands. etc y llegamos a todas las ciudades del país con nuestro Teatro/Concierto para ayudar a sanar corazones y reconstruir familias. todo por el bien de nuestros hijos,NULL
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-01-10T19:25:43.000Z,SIjwQR8aHGI,Show #6 FM - Fiestas Populares,Este show nace de mi amistad con la mejor orquesta del país. Don Medardo y sus Players. Un show para fiestas populares donde la orquesta toca al rededor de 5 horas y en uno de los bloques cantamos y bailamos mis canciones en versión cumbia.,NULL
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-01-09T04:52:38.000Z,viZG_aac-5w,Show #5 FM - CAPACITACIÓN EMOCIONES (VIDA/TRABAJO),Hemos creado una capacitación que consiste en valorar la importancia de las emociones. Un aprendizaje tanto para la vida como para el trabajo. Lo hacemos de la mano de un/una coach y lo acompañamos de un show con las mejores canciones de mi repertorio.,NULL
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-01-09T04:03:39.000Z,os8MprDAsF0,Show #4 FM - EMPRESAS/INSTITUCIONES,Este es el show personalizado para empresas o instituciones públicas y privadas. Donde llegamos con nuestro concierto-teatro adaptado para cada empresa (con información real) y con el fin que cada institución busca.,NULL
FAUSTO MIÑO,Guayaquil. Ecuador,Cantante. Compositor,El Juan,Pop. Latino. Flamenco. Hip Hop,Voz. Guitarra,1996-Presente,NULL,NULL,NULL,Masculino,upload,Fausto Mino Oficial,UCXYMTH6j0E5y_FpponmaYWw,2017-01-03T23:38:37.000Z,dMv7DvbS2NI,Show #3 FM - Bodas,En este show de bodas. vamos elegantes a celebrar la unión de una pareja. Este denominado teatro-concierto es un formato de show que entretiene a la gente. Buscamos aconsejar a la pareja y que reconozcan el compromiso que están haciendo. Un show muy emotivo y divertido a la vez mezclado con mis mejores canciones.,NULL
